id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,ingles,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia,jornada,jornada_22_23,jornada_23_24,jornada_inde,jornada_inde_22_23,jornada_inde_23_24,jornada_pedra,jornada_pedra_22_23,jornada_pedra_23_24
RA-1,7,feminino,2016,publico,8.3,4.1,5.6,4.0,nao,7.278,5.0,2022,7.4333333334,19,quartzo,2.7,3.5,6.0,-1.0,5.783,veterano,escolar,medio,False,False,moderada,6,,avanco,neutro,,avanco,recuo,,avanco,avanco
RA-1,8,feminino,2016,privado,7.6029651683970245,6.587701598780119,6.568552370294019,6.120341716038018,nao,7.3870648902876495,10.0,2023,7.5515048676585685,0,ametista,6.780000000000001,5.340000000000001,6.9,0.0,7.164000279918784,veterano,universitario,superior,False,False,em fase,7,avanco,avanco,neutro,avanco,avanco,recuo,avanco,avanco,avanco
RA-1,8,feminino,2021,privado,10.0,0.0,10.0,6.585769107466136,nao,6.814128518135955,10.0,2024,7.76657186170136,21,agata,6.18,7.220000000000001,6.8,0.0,6.737564769719447,veterano,universitario,superior,True,False,em fase,3,neutro,avanco,neutro,recuo,avanco,recuo,avanco,avanco,avanco
RA-10,7,feminino,2021,publico,8.3,5.2,5.0,4.1,nao,7.056,5.0,2022,6.8583333334,18,quartzo,3.3,2.6,6.4,-1.0,5.784,veterano,escolar,medio,True,False,moderada,1,,,,,,,,,
RA-100,4,feminino,2019,privado,8.8,7.8,5.0,7.6,nao,7.25,10.0,2022,7.34375,13,ametista,7.0,7.8,8.1,1.0,7.618,veterano,escolar,fundamental2,True,False,em fase,3,,,,,,,,,
RA-1000,0,feminino,2023,publico,8.5,9.4,3.77,7.0,nao,8.92,10.0,2023,6.25,8,ametista,7.0,7.0,7.279999999999999,0.0,7.9162,ingressante,escolar,fundamental1,False,False,em fase,0,,,neutro,,,avanco,,,avanco
RA-1000,1,feminino,2023,publico,9.002,9.5454545455,6.26,7.75,nao,7.835,10.0,2024,8.125,9,topazio,7.5,8.0,8.14,0.0,8.364790909100002,veterano,escolar,fundamental1,True,False,em fase,1,neutro,,neutro,avanco,,avanco,avanco,,avanco
RA-1001,0,feminino,2023,publico,9.0,9.1,7.52,7.8,nao,9.17,5.0,2023,7.5,9,topazio,8.3,7.3,8.120000000000001,-1.0,8.1162,ingressante,escolar,fundamental1,False,False,moderada,0,,,neutro,,,recuo,,,recuo
RA-1001,1,feminino,2023,publico,7.502,9.347826087,7.51,7.75,nao,7.92,5.0,2024,7.916666667,10,ametista,6.5,9.0,7.6,-1.0,7.7964318841,veterano,escolar,fundamental1,True,False,moderada,1,neutro,,neutro,recuo,,recuo,recuo,,recuo
RA-1002,0,feminino,2023,publico,9.0,9.7,7.52,7.0,nao,8.92,5.0,2023,6.25,9,ametista,7.0,7.0,7.279999999999999,-1.0,7.9012,ingressante,escolar,fundamental1,False,False,moderada,0,,,neutro,,,neutro,,,neutro
