id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia
RA-1,7,feminino,2016,publico,8.3,4.1,5.6,4.0,nao,7.278,5.0,2022,7.4333333334,19,quartzo,2.7,3.5,-1.0,5.783,veterano,escolar,medio,False,False,moderada,6
RA-1,8,feminino,2016,privado,7.6029651683970245,6.587701598780119,6.568552370294019,6.120341716038018,nao,7.3870648902876495,10.0,2023,7.5515048676585685,0,ametista,6.5200000000000005,5.76,0.0,7.164000279918784,veterano,universitario,superior,False,False,em fase,7
RA-1000,0,feminino,2023,publico,8.5,9.4,3.77,7.0,nao,8.92,10.0,2023,6.25,8,ametista,7.0,7.0,0.0,7.9162,ingressante,escolar,fundamental1,False,False,em fase,0
RA-1001,0,feminino,2023,publico,9.0,9.1,7.52,7.8,nao,9.17,5.0,2023,7.5,9,topazio,8.3,7.3,-1.0,8.1162,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1002,0,feminino,2023,publico,9.0,9.7,7.52,7.0,nao,8.92,5.0,2023,6.25,9,ametista,7.0,7.0,-1.0,7.9012,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1003,0,masculino,2023,publico,9.0,8.5,7.52,4.0,nao,8.75,10.0,2023,7.5,8,ametista,8.0,0.0,0.0,7.6522,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1004,0,feminino,2023,publico,9.0,9.6,7.52,7.9,nao,7.42,10.0,2023,6.875,8,topazio,6.5,9.2,0.0,8.3137,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1006,0,feminino,2023,publico,9.0,9.3,7.52,8.7,nao,8.0,10.0,2023,7.5,8,topazio,8.7,8.6,0.0,8.5922,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1008,0,masculino,2023,publico,9.0,8.6,7.52,8.4,nao,7.5,10.0,2023,5.9375,8,topazio,7.5,9.2,0.0,8.13595,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1009,0,masculino,2023,publico,0.0,9.0,3.77,8.8,nao,7.84,10.0,2023,7.5,8,ametista,8.3,9.2,0.0,7.245,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1012,0,feminino,2023,publico,10.0,9.9,3.77,6.6,nao,7.845,10.0,2023,7.1875,8,ametista,7.0,6.2,0.0,7.96495,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1013,0,masculino,2023,publico,9.0,9.6,4.39,8.3,nao,5.76,10.0,2023,5.625,7,ametista,7.0,9.5,0.0,7.6237,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1014,0,feminino,2023,publico,9.0,9.7,3.77,8.2,nao,8.255,10.0,2023,7.5,0,topazio,7.7,8.7,0.0,8.2582,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1015,1,feminino,2023,publico,10.0,9.3,6.27,6.3,nao,7.786666667,5.0,2023,7.34375,10,ametista,5.0,7.6,-1.0,7.538908333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1017,1,masculino,2023,publico,0.0,8.0,5.02,7.7,nao,8.116666667,5.0,2023,7.5,0,agata,7.0,8.3,-1.0,6.505333333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1018,1,masculino,2023,publico,0.0,8.5,5.02,6.3,nao,8.06,10.0,2023,7.5,0,agata,5.8,6.8,0.0,6.824,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1019,1,feminino,2023,publico,7.5,9.1,5.02,4.3,nao,7.836666667,10.0,2023,6.875,8,ametista,0.5,8.0,1.0,7.177033333,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1020,1,feminino,2023,publico,10.0,9.1,2.52,6.1,nao,8.056666667,10.0,2023,7.1875,9,ametista,4.3,7.8,0.0,7.612283333,ingressante,escolar,fundamental1,False,False,em fase,0
RA-1021,1,masculino,2023,publico,8.0,9.2,3.77,3.3,nao,7.893333333,10.0,2023,7.1875,0,agata,2.5,4.0,0.0,6.964616667,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1022,1,masculino,2023,publico,8.5,8.5,3.77,4.7,nao,7.893333333,10.0,2023,7.1875,9,ametista,4.7,4.7,0.0,7.164616667,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1023,1,feminino,2023,publico,10.0,10.0,6.27,9.1,nao,9.06,10.0,2023,8.75,0,topazio,8.5,9.7,0.0,9.1342,ingressante,escolar,fundamental1,False,False,em fase,0
