genero,ano_ingresso,ieg,ida,atingiu_pv,ipv,ian,ano,ipp,matematica,portugues,defasagem,tipo_estudante,piorou_defasagem
feminino,2016,4.1,4.0,nao,7.278,5.0,2022,7.4333333334,2.7,3.5,-1.0,veterano,False
feminino,2023,9.4,7.0,nao,8.92,10.0,2023,6.25,7.0,7.0,0.0,ingressante,False
feminino,2023,9.1,7.8,nao,9.17,5.0,2023,7.5,8.3,7.3,-1.0,ingressante,False
feminino,2023,9.7,7.0,nao,8.92,5.0,2023,6.25,7.0,7.0,-1.0,ingressante,False
masculino,2023,8.5,4.0,nao,8.75,10.0,2023,7.5,8.0,0.0,0.0,ingressante,True
feminino,2023,9.6,7.9,nao,7.42,10.0,2023,6.875,6.5,9.2,0.0,ingressante,True
feminino,2023,9.3,8.7,nao,8.0,10.0,2023,7.5,8.7,8.6,0.0,ingressante,True
masculino,2023,8.6,8.4,nao,7.5,10.0,2023,5.9375,7.5,9.2,0.0,ingressante,True
masculino,2023,9.0,8.8,nao,7.84,10.0,2023,7.5,8.3,9.2,0.0,ingressante,True
feminino,2023,9.9,6.6,nao,7.845,10.0,2023,7.1875,7.0,6.2,0.0,ingressante,True
masculino,2023,9.6,8.3,nao,5.76,10.0,2023,5.625,7.0,9.5,0.0,ingressante,True
feminino,2023,9.7,8.2,nao,8.255,10.0,2023,7.5,7.7,8.7,0.0,ingressante,True
feminino,2023,9.3,6.3,nao,7.786666667,5.0,2023,7.34375,5.0,7.6,-1.0,ingressante,False
masculino,2023,8.0,7.7,nao,8.116666667,5.0,2023,7.5,7.0,8.3,-1.0,ingressante,False
masculino,2023,8.5,6.3,nao,8.06,10.0,2023,7.5,5.8,6.8,0.0,ingressante,True
feminino,2023,9.1,4.3,nao,7.836666667,10.0,2023,6.875,0.5,8.0,1.0,ingressante,True
feminino,2023,9.1,6.1,nao,8.056666667,10.0,2023,7.1875,4.3,7.8,0.0,ingressante,False
masculino,2023,9.2,3.3,nao,7.893333333,10.0,2023,7.1875,2.5,4.0,0.0,ingressante,True
masculino,2023,8.5,4.7,nao,7.893333333,10.0,2023,7.1875,4.7,4.7,0.0,ingressante,True
feminino,2023,10.0,9.1,nao,9.06,10.0,2023,8.75,8.5,9.7,0.0,ingressante,False
feminino,2023,10.0,9.8,nao,8.95,5.0,2023,9.21875,10.0,9.5,-1.0,ingressante,False
masculino,2023,8.9,7.5,nao,7.836666667,10.0,2023,7.65625,7.5,7.5,0.0,ingressante,True
feminino,2023,9.7,6.0,nao,8.333333333,5.0,2023,7.5,4.2,7.7,-1.0,ingressante,False
masculino,2023,9.2,5.0,nao,7.946666667,5.0,2023,7.34375,5.0,5.0,-1.0,ingressante,True
feminino,2023,6.3,5.4,nao,8.006666667,10.0,2023,7.5,3.5,7.2,0.0,ingressante,True
feminino,2020,8.7,7.3,nao,7.708,10.0,2022,7.989583333400001,7.3,7.3,1.0,veterano,False
feminino,2020,9.2,7.1,nao,8.09,10.0,2023,8.125,7.3,6.3,1.0,veterano,True
masculino,2023,9.7,6.9,nao,8.39,5.0,2023,6.875,6.2,7.5,-1.0,ingressante,False
masculino,2023,8.8,5.9,nao,7.006666667,5.0,2023,6.666666667,4.8,7.0,-1.0,ingressante,False
masculino,2023,9.5,6.0,nao,7.563333333,5.0,2023,7.291666667,5.7,6.2,-1.0,ingressante,False
masculino,2023,9.0,8.3,nao,8.393333333,5.0,2023,8.333333333,7.8,8.7,-1.0,ingressante,False
masculino,2023,8.3,5.8,nao,7.78,10.0,2023,7.708333333,4.0,7.5,0.0,ingressante,True
feminino,2023,9.6,8.0,nao,8.336666667,5.0,2023,9.0625,9.0,7.0,-1.0,ingressante,False
feminino,2023,9.3,6.5,nao,8.17,5.0,2023,8.90625,7.5,5.5,-1.0,ingressante,False
masculino,2023,9.9,6.2,nao,8.056666667,5.0,2023,8.125,6.0,6.3,-2.0,ingressante,False
masculino,2022,8.7,3.7,nao,6.708,2.5,2022,6.447916666599999,4.8,5.8,-4.0,ingressante,False
masculino,2023,9.3,6.6,nao,8.06,5.0,2023,7.8125,5.8,7.3,-1.0,ingressante,False
masculino,2023,7.9,2.5,nao,7.833333333,5.0,2023,7.708333333,2.0,3.0,-1.0,ingressante,False
feminino,2023,9.7,6.1,nao,8.336666667,5.0,2023,7.5,4.5,7.7,-1.0,ingressante,False
feminino,2023,9.5,8.2,nao,8.5,5.0,2023,8.541666667,7.5,8.8,-1.0,ingressante,False
masculino,2023,7.7,6.3,nao,7.943333333,5.0,2023,8.125,5.5,7.0,-1.0,ingressante,False
masculino,2023,9.0,5.3,nao,7.833333333,10.0,2023,7.916666667,5.0,5.5,0.0,ingressante,True
masculino,2023,8.6,6.6,nao,7.836666667,5.0,2023,7.5,5.0,8.2,-2.0,ingressante,False
masculino,2023,7.2,5.5,nao,7.276666667,5.0,2023,7.291666667,6.0,5.0,-1.0,ingressante,True
masculino,2023,9.6,8.1,nao,8.113333333,10.0,2023,7.96875,7.8,8.3,0.0,ingressante,True
feminino,2023,10.0,6.3,nao,8.34,10.0,2023,8.125,6.5,6.0,0.0,ingressante,True
